timestamp,elapsed_s,fps,cpu_pct,system_cpu_pct,rss_mb,mem_available_mb,mem_used_pct,cpu_temp_c,throttled_hex,frames,grab_fails,motion_skips,aruco_calls,aruco_avg_ms,aruco_min_ms,aruco_max_ms,yolo_calls,yolo_avg_ms,yolo_min_ms,yolo_max_ms
2026-08-27 22:02:41,5.2,13.9,237.0,66.6,129.3,1320,28.5,57.5,0x50005,72,0,0,24,23.0,9.5,30.9,12,239.9,171.3,308.7
2026-08-27 22:02:46,5.1,14.2,236.3,65.6,129.4,1329,28.1,57.0,0x50005,72,0,0,24,23.7,6.8,42.3,12,230.8,178.9,277.3
2026-08-27 22:02:51,5.1,14.1,235.4,65.3,129.4,1332,27.9,56.0,0x50005,72,0,0,24,22.1,9.2,38.9,12,233.2,170.4,283.9
2026-08-27 22:02:56,5.1,14.2,230.6,64.7,129.4,1333,27.9,57.0,0x50005,72,0,0,24,21.7,6.9,43.0,12,230.5,141.0,292.0
2026-08-27 22:03:01,5.1,14.1,224.2,62.3,129.4,1333,27.8,57.0,0x50005,72,0,0,24,22.2,6.9,35.9,12,220.6,98.7,296.9
2026-08-27 22:03:06,5.1,14.0,231.2,63.2,129.4,1331,28.0,56.5,0x50005,72,0,0,24,23.1,6.9,31.3,12,218.5,183.3,300.7
2026-08-27 22:03:11,5.2,13.9,212.5,60.0,129.4,1334,27.8,57.9,0x50005,72,0,0,24,21.1,6.9,30.2,12,207.9,88.5,300.8
2026-08-27 22:03:17,5.2,14.0,224.2,62.4,129.4,1337,27.6,57.5,0x50005,72,0,0,24,20.1,7.0,28.3,12,226.7,122.0,323.5
2026-08-27 22:03:22,5.1,14.2,221.7,61.1,129.4,1335,27.7,56.5,0x50005,72,0,0,24,22.7,6.9,39.6,12,212.8,120.4,267.2
2026-08-27 22:03:27,5.1,14.2,226.4,62.3,129.4,1333,27.9,57.5,0x50005,72,0,0,24,20.0,6.8,36.9,12,221.9,164.4,265.4
2026-08-27 22:03:32,5.1,14.0,219.9,62.3,129.4,1340,27.5,57.9,0x50005,72,0,0,24,22.2,6.8,30.8,12,220.4,135.4,312.5
2026-08-27 22:03:37,5.1,14.1,207.4,57.8,129.5,1335,27.7,57.5,0x50000,72,0,0,24,18.9,6.9,30.4,12,203.6,116.3,315.0
2026-08-27 22:03:42,5.0,14.3,220.1,61.8,129.5,1335,27.7,58.4,0x50000,72,0,0,24,21.0,6.7,51.1,12,217.0,103.7,304.5
2026-08-27 23:23:47,5.0,11.4,189.5,56.3,129.1,1276,31.0,54.0,0x50005,57,0,0,19,19.5,9.3,29.2,9,275.0,164.8,794.9
2026-08-27 23:23:52,5.0,13.7,223.1,62.4,129.3,1307,29.3,54.0,0x50005,69,0,0,23,21.8,6.8,30.9,12,219.4,100.0,275.4
2026-08-27 23:23:58,5.9,12.2,220.0,67.5,129.4,1315,28.8,55.5,0x50005,72,0,0,24,20.7,6.9,33.7,12,286.4,122.8,1053.5
2026-08-27 23:24:03,5.0,15.0,229.5,62.8,129.4,1330,28.0,55.0,0x50005,75,0,0,25,22.7,7.1,41.6,12,215.7,121.8,269.6
2026-08-27 23:24:08,5.1,14.2,210.4,57.9,129.4,1334,27.8,55.0,0x50005,72,0,0,24,19.4,6.8,30.2,12,205.3,96.1,247.0
2026-08-27 23:24:13,5.0,12.6,222.2,64.5,129.4,1306,29.3,55.0,0x50005,63,0,0,21,22.5,7.2,33.0,11,246.0,135.2,513.1
2026-08-27 23:24:18,5.2,13.8,216.8,60.0,129.4,1321,28.5,56.5,0x50005,72,0,0,24,21.6,6.9,32.6,12,215.7,113.9,294.2
2026-08-27 23:24:23,5.0,14.3,222.6,61.9,129.5,1335,27.7,57.0,0x50005,72,0,0,24,22.4,7.0,33.8,12,213.1,118.6,274.6
2026-08-27 23:24:28,5.0,14.4,210.9,58.3,129.5,1338,27.6,56.5,0x50005,72,0,0,24,20.2,6.7,28.8,12,196.8,105.7,254.9
2026-08-27 23:24:33,5.1,14.1,211.8,58.9,129.5,1341,27.4,57.0,0x50000,72,0,0,24,22.2,6.8,34.5,12,205.5,108.1,312.2
2026-08-27 23:24:38,5.0,14.4,225.6,61.7,129.5,1336,27.7,57.9,0x50005,72,0,0,24,22.3,6.8,42.0,12,213.3,105.2,273.3
2026-08-27 23:24:43,5.1,14.0,215.0,59.3,129.5,1341,27.4,56.0,0x50000,72,0,0,24,21.0,7.0,27.8,12,208.0,92.4,252.2
2026-08-27 23:24:48,5.0,14.6,216.1,59.6,129.5,1334,27.8,57.0,0x50005,73,0,0,24,22.1,7.1,35.1,12,205.1,94.3,258.7
2026-08-27 23:24:53,5.0,14.1,219.7,61.1,129.5,1335,27.7,57.5,0x50005,71,0,0,24,21.4,6.8,28.3,12,211.1,116.7,248.6
2026-08-27 23:24:59,5.2,13.9,215.0,59.4,129.5,1340,27.5,57.5,0x50005,72,0,0,24,20.4,6.8,28.9,12,212.6,137.1,245.6
2026-08-27 23:25:04,5.1,14.2,206.2,55.9,129.5,1343,27.3,57.0,0x50005,72,0,0,24,22.5,6.9,37.3,12,195.1,101.1,251.0
2026-08-27 23:25:09,5.1,14.2,227.6,62.3,129.5,1338,27.6,57.0,0x50005,72,0,0,24,21.8,4.1,36.8,12,220.6,112.6,266.6
2026-08-27 23:25:14,5.0,14.3,205.7,56.5,129.5,1336,27.7,57.5,0x50005,72,0,0,24,22.5,7.2,35.5,12,193.0,97.2,233.6
2026-08-27 23:25:19,5.1,14.2,204.8,57.0,129.5,1336,27.7,57.9,0x50005,72,0,0,24,20.6,9.3,37.0,12,197.7,89.7,256.4
2026-08-27 23:25:24,5.0,14.3,211.4,59.1,129.5,1338,27.6,57.9,0x50005,72,0,0,24,21.4,4.3,34.8,12,201.9,112.4,257.4
2026-08-27 23:25:29,5.0,14.3,211.6,57.3,129.6,1340,27.5,57.0,0x50005,72,0,0,24,22.1,6.8,43.6,12,193.9,98.5,248.1
2026-08-27 23:25:34,5.1,14.2,218.7,59.9,129.6,1339,27.5,57.5,0x50005,72,0,0,24,21.9,6.8,31.5,12,207.7,108.0,257.5
2026-08-27 23:25:39,5.0,14.9,220.1,59.6,129.6,1339,27.6,58.4,0x50005,75,0,0,25,22.4,9.2,39.5,12,207.1,118.9,262.1
2026-08-27 23:25:44,5.0,13.7,240.6,66.2,129.6,1336,27.7,57.9,0x50005,69,0,0,23,23.6,9.2,36.6,12,232.5,189.8,269.0
2026-08-27 23:25:49,5.1,14.1,226.8,62.3,129.6,1336,27.7,58.4,0x50005,72,0,0,24,22.1,6.9,34.3,12,218.4,114.2,262.2
2026-08-27 23:25:54,5.0,14.3,236.7,64.4,129.6,1339,27.5,58.9,0x50005,72,0,0,24,20.7,7.0,27.4,12,230.2,200.5,253.8
2026-08-27 23:25:59,5.1,14.3,232.4,63.0,129.6,1340,27.5,57.9,0x50005,72,0,0,24,22.5,18.5,31.9,12,219.3,189.7,247.8
2026-08-27 23:26:04,5.1,14.2,227.7,61.2,129.6,1339,27.5,58.9,0x50005,72,0,0,24,23.9,6.9,37.2,12,211.3,164.4,238.6
2026-08-27 23:26:09,5.1,14.3,219.0,60.4,129.6,1338,27.6,57.5,0x50005,72,0,0,24,20.9,7.0,32.3,12,207.8,107.5,253.5
2026-08-27 23:26:14,5.0,14.8,230.6,63.3,129.6,1333,27.8,57.9,0x50005,74,0,0,24,20.4,6.7,30.8,12,218.6,161.3,248.6
2026-08-27 23:26:19,5.1,13.7,212.0,58.3,129.6,1337,27.7,57.5,0x50005,70,0,0,24,21.1,7.1,42.4,12,206.6,94.3,246.6
2026-08-27 23:26:25,5.0,14.3,236.5,66.4,129.6,1332,27.9,58.9,0x50000,72,0,0,24,23.4,7.2,30.8,12,228.8,150.0,326.9
2026-08-27 23:26:30,5.1,14.0,228.6,63.1,129.7,1338,27.6,58.4,0x50005,72,0,0,24,21.6,4.3,30.4,12,224.6,116.1,259.2
2026-08-27 23:26:35,5.1,14.2,233.2,64.1,129.7,1339,27.5,58.9,0x50005,72,0,0,24,24.0,9.5,36.4,12,225.3,160.2,257.2
2026-08-27 23:26:40,5.1,14.2,228.0,62.6,129.7,1337,27.6,57.5,0x50005,72,0,0,24,21.0,6.9,33.9,12,220.7,161.4,257.9
2026-08-27 23:26:45,5.0,14.3,230.6,63.6,129.7,1337,27.6,58.9,0x50005,72,0,0,24,20.5,6.9,30.7,12,222.9,145.9,263.7
